model_no	func_type	model
2223	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6124989021857797456, 2004811776, 1476360191, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2224	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1157443865510359859, 2004811776, 84219221, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2225	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3689573115114029047, 2004811776, 1245235, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2226	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 5841543724610704725, 2004811776, 16734207, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2227	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1225068159371859200, 2004811776, 50792199, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2228	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 30037, 2004811776, 2031711, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2229	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8286904787040010239, 2004811776, 259, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2230	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 4031836272, 2004811776, 335544319, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2231	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3535888657439260671, 2004811776, 17108751, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2232	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3458820589735654144, 2004811776, 21847, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2233	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1152940200599486463, 2004811776, 286331155, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2234	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1153009810566108501, 2004811776, 127, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2235	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 93527207859536, 2004811776, 22391, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2236	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6148914691773396821, 2004811776, 775, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2237	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 89134887949653, 2004811776, 1431656287, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2238	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 271948739248127, 2004811776, 1807, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2239	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8093250005098364927, 2004811776, 16719871, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2240	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 281472040763391, 2004811776, 33502207, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2241	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 61936, 2004811776, 252674047, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2242	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 88304527626576, 2004811776, 369055231, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2243	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 5859272524974871893, 2004811776, 327701, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2244	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1359020031, 2004811776, 1465341815, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2245	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1224997791701423360, 2004811776, 33490431, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2246	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8589340269314537335, 2004811776, 32767, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2247	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 268439808, 2004811776, 286331155, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2248	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1153186418995032304, 2004811776, 536829951, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2249	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 5859464590185725951, 2004811776, 1114131, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2250	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 128642860480256, 2004811776, 5570687, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2251	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 5859558397930722645, 2004811776, 1476354047, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2252	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3544895853257949183, 2004811776, 65553, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2253	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1153009810481893456, 2004811776, 939474943, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2254	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 281474808020991, 2004811776, 7, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2255	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 269488400, 2004811776, 926891839, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2256	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8608480569878640631, 2004811776, 16719871, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2257	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 93823560643957, 2004811776, 257888127, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2258	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 5764695554115589461, 2004811776, 3871, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2259	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 89408334222673, 2004811776, 50791183, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2260	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3688504381221843763, 2004811776, 858994495, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2261	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1153015328452662613, 2004811776, 1301, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2262	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 266013094507504, 2004811776, 1114133, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2263	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6149102341077860351, 2004811776, 84215047, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2264	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 89060441871701, 2004811776, 872382463, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2265	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 17592186048528, 2004811776, 255795007, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2266	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 859045879, 2004811776, 335492095, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2267	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 4043374336, 2004811776, 1245235, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2268	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1225072558492112128, 2004811776, 21847, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2269	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 270432615856117, 2004811776, 1441791, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2270	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 93823560646517, 2004811776, 859308031, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2271	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3530878187229740800, 2004811776, 3604599, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2272	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 280877976322047, 2004811776, 20123955, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2273	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 4285792255, 2004811776, 859780927, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2274	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8589340252134930295, 2004811776, 1376511, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2275	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 5787213827062912341, 2004811776, 84870927, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2276	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1229764169240281087, 2004811776, 20120371, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2277	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3674993371884106545, 2004811776, 1287, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2278	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 856699699, 2004811776, 1431789407, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2279	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3544614378281369599, 2004811776, 16974595, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2280	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 126937758463859, 2004811776, 286462739, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2281	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 271802710360063, 2004811776, 2031711, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2282	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6129962039941136383, 2004811776, 5461, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2283	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 29440, 2004811776, 1465868127, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2284	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 52982716592176, 2004811776, 65539, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2285	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 5764695554115589461, 2004811776, 85327871, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2286	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8084225424374104063, 2004811776, 84410367, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2287	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3689419459437753203, 2004811776, 17904435, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2288	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 264913582880241, 2004811776, 301929983, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2289	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6148952220660791159, 2004811776, 320017203, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2290	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 56075093079808, 2004811776, 286331699, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2291	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6149092958149148671, 2004811776, 524287, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2292	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 4126210032, 2004811776, 100599807, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2293	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 286283093, 2004811776, 1610579967, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2294	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8301109895453736959, 2004811776, 511, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2295	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3675218767474982911, 2004811776, 357913941, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2296	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3675218768545513471, 2004811776, 17170431, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2297	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 823263231, 2004811776, 872364031, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2298	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 825242416, 2004811776, 8191, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2299	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 281474799894527, 2004811776, 67048447, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2300	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3674993578041422641, 2004811776, 3871, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2301	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 4042323957, 2004811776, 84215047, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2302	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3689559920974492531, 2004811776, 3342463, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2303	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3472398664971907312, 2004811776, 33493503, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2304	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3531102487618519039, 2004811776, 2004320255, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2305	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8589489512981462835, 2004811776, 1442797567, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2306	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 93459847337216, 2004811776, 21887, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2307	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 56143812506385, 2004811776, 16255, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
