network_number	fro	to	sign
2754	16	3	i
2754	12	14	i
2754	13	12	i
2754	11	2	i
2754	8	6	a
2755	3	10	i
2755	15	1	i
2755	15	15	i
2755	3	13	i
2755	14	16	i
2755	10	14	i
2755	8	9	i
2755	2	13	i
2755	6	4	a
2755	5	6	i
2755	4	7	i
2755	14	7	a
2755	11	4	i
2755	11	3	a
2755	6	8	i
2755	13	8	i
2755	7	12	a
2755	10	6	i
2755	12	10	a
2755	13	11	i
2755	12	11	i
2755	9	3	i
2755	1	12	i
2755	5	5	i
2755	8	14	i
2755	9	5	i
2755	7	2	i
2755	2	2	a
2755	16	1	i
2755	1	9	i
2755	16	16	i
2755	4	15	i
2756	15	5	i
2756	14	10	i
2756	16	12	i
2756	7	1	a
2756	12	2	i
2756	14	7	i
2756	11	8	a
2756	16	1	i
2756	8	5	i
2756	4	3	a
2756	11	16	i
2756	12	3	i
2756	9	16	i
2756	3	12	i
2756	8	7	i
2756	9	11	a
2756	10	9	i
2756	6	13	i
2756	1	10	a
2756	7	15	a
2756	13	4	a
2756	3	14	a
2756	15	2	i
2756	13	13	i
2756	2	4	i
2756	2	6	a
2756	1	9	i
2756	10	14	i
2756	4	8	i
2756	5	6	i
2756	6	15	a
2756	5	11	i
2757	1	4	i
2757	11	11	a
2757	1	3	a
2757	6	4	i
2757	2	13	i
2757	6	11	i
2757	3	7	i
2757	16	10	i
2757	13	13	i
2757	4	5	i
2757	14	1	a
2757	5	15	i
2757	5	8	a
2757	2	12	a
2757	15	6	i
2757	16	2	a
2757	8	10	a
2757	7	9	a
2757	9	14	i
2757	14	9	i
2757	10	2	i
2757	12	7	i
2757	3	16	i
2757	12	15	i
2757	4	14	a
2757	15	12	i
2757	13	16	i
2757	10	6	i
2757	9	3	a
2757	7	8	i
2757	11	5	i
2757	8	1	a
2758	6	13	i
2758	16	12	i
2758	13	14	i
2758	7	10	i
2758	2	2	a
2758	15	4	i
2758	1	15	a
2758	4	1	i
2758	12	8	i
2758	5	5	i
2758	15	11	i
2758	6	1	a
2758	1	3	a
2758	9	13	i
2758	9	16	i
2758	4	16	i
2758	10	3	i
2758	2	12	a
2758	8	9	i
2758	11	6	i
2758	5	11	i
2758	11	14	i
2758	7	2	i
2758	12	15	i
2758	8	7	i
2758	3	9	i
2758	14	7	a
2758	10	4	a
2758	3	5	a
2758	13	6	i
2758	14	8	i
2758	16	10	i
2759	6	1	i
2759	5	2	i
2759	14	3	i
2759	16	16	i
2759	4	16	i
2759	2	13	i
2759	9	8	i
2759	14	6	i
2759	4	7	i
2759	13	15	i
2759	7	9	i
2759	1	4	i
2759	3	3	i
2759	10	14	i
2759	11	10	i
2759	12	7	i
2759	15	11	i
2759	9	5	i
2759	1	1	i
2759	11	14	i
2759	6	12	i
2759	8	8	i
2759	13	13	i
2759	8	11	i
2759	5	15	i
2759	15	9	i
2759	3	6	i
2759	7	4	i
2759	10	5	i
2759	12	2	i
2759	2	12	i
2759	16	10	i
2760	3	14	a
2760	1	5	a
2760	4	4	a
2760	10	9	a
2760	14	9	a
2760	15	13	a
2760	5	4	a
2760	12	12	a
2760	1	10	a
2760	12	10	i
2760	7	15	a
2760	2	2	a
2760	14	1	a
2760	13	8	a
2760	16	11	a
2760	9	8	a
2760	5	13	a
2760	6	3	a
2760	6	11	a
2760	15	15	a
2760	13	16	a
2760	11	16	a
2760	9	6	a
2760	4	7	a
2760	2	5	a
2760	11	14	a
2760	7	12	a
2760	16	3	a
2760	8	6	a
2760	10	2	a
2760	3	1	a
2760	8	7	a
2761	12	3	i
2761	8	7	i
2761	5	4	i
2761	13	1	i
2761	10	14	i
2761	1	6	i
2761	16	15	i
2761	1	11	i
2761	3	5	i
2761	3	4	i
2761	7	10	i
2761	5	9	i
2761	2	3	i
2761	9	14	i
2761	14	1	i
2761	2	13	i
2761	4	8	i
2761	11	5	i
2761	9	9	i
2761	15	16	i
2761	11	10	i
2761	15	12	i
2761	13	11	i
2761	14	15	i
2761	12	16	i
2761	4	7	i
2761	6	2	i
2761	6	12	i
2761	16	2	i
2761	7	8	i
2761	8	13	i
2761	10	6	i
2762	8	9	i
2762	1	15	i
2762	8	8	i
2762	9	1	i
2762	4	7	i
2762	16	6	i
2762	6	16	i
2762	10	1	a
2762	13	14	i
2762	1	5	i
2762	11	8	i
2762	14	11	a
2762	9	12	a
2762	3	11	a
2762	12	3	i
2762	10	7	a
2762	13	9	i
2762	2	14	i
2762	2	12	i
2762	15	10	a
2762	5	5	i
2762	3	13	i
2762	6	13	a
2762	5	6	i
2762	12	2	i
2762	7	3	i
2762	11	15	a
2762	4	16	a
2762	7	2	i
2762	16	10	i
2762	14	4	a
2762	15	4	i
2763	1	7	a
2763	16	3	a
2763	1	6	a
2763	13	14	i
2763	11	11	a
2763	12	9	a
2763	11	4	i
2763	2	16	a
2763	8	16	a
2763	9	11	a
2763	3	6	a
2763	5	4	a
2763	6	10	a
2763	9	14	a
2763	10	13	a
2763	4	5	a
2763	13	2	i
2763	4	1	a
2763	12	8	a
2763	7	9	a
2763	15	3	a
2763	7	7	i
2763	6	1	i
2763	8	15	a
2763	16	15	a
2763	5	12	a
2763	2	10	a
2763	14	5	a
2763	15	2	a
2763	14	8	a
2763	3	13	a
2763	10	12	i
2764	13	10	a
2764	16	16	i
2764	5	9	i
2764	6	5	i
2764	9	1	i
2764	1	11	i
2764	7	14	i
2764	16	13	a
2764	8	15	i
2764	4	12	a
2764	14	11	a
2764	3	14	i
2764	14	7	i
2764	13	7	i
2764	10	2	i
2764	4	4	a
2764	10	4	i
2764	8	6	i
2764	12	13	a
2764	6	8	a
2764	9	9	i
2764	2	3	a
2764	2	6	i
2764	11	1	i
2764	15	5	a
2764	3	8	a
2764	5	2	a
2764	12	10	a
2764	7	16	a
2764	11	15	a
2764	15	12	i
2764	1	3	a
2765	2	2	i
2765	1	1	i
2765	6	4	i
2765	16	13	a
2765	11	15	i
2765	9	14	i
2765	3	4	i
2765	6	7	i
2765	9	2	i
2765	10	15	i
2765	16	6	i
2765	2	10	i
2765	7	1	a
2765	4	10	a
2765	8	16	a
2765	5	11	i
2765	7	6	a
2765	14	12	a
2765	15	7	i
2765	1	8	a
2765	3	16	i
2765	5	9	a
2765	14	8	a
2765	4	5	i
2765	12	3	a
2765	11	14	i
2765	12	5	a
2765	10	9	a
2765	13	3	i
2765	13	11	i
2765	15	12	i
2765	8	13	i
2766	12	8	i
2766	11	3	a
2766	10	14	a
2766	9	11	a
2766	8	2	a
2766	15	11	a
2766	6	3	a
2766	12	9	a
2766	7	10	a
2766	3	12	a
2766	8	15	a
2766	16	4	a
2766	3	8	a
2766	11	12	a
2766	4	5	a
2766	13	7	a
2766	15	16	a
2766	2	4	i
2766	14	14	a
2766	7	5	a
2766	6	2	a
2766	2	7	a
2766	10	6	a
2766	9	1	a
2766	5	1	a
2766	1	9	i
2766	14	16	a
2766	16	6	a
2766	13	15	a
2766	1	13	a
2766	5	13	a
2766	4	10	a
2767	12	10	a
2767	13	1	a
2767	5	14	a
2767	4	4	i
2767	8	16	a
2767	9	10	i
2767	15	6	a
2767	11	15	a
2767	9	2	a
2767	1	5	a
2767	16	8	a
2767	7	3	a
2767	14	16	a
2767	6	8	i
2767	7	7	a
2767	12	1	a
2767	15	5	a
2767	3	12	a
2767	2	9	a
2767	3	13	a
2767	13	6	a
2767	16	11	a
2767	10	9	a
2767	8	12	a
2767	1	13	a
2767	10	2	a
2767	14	3	a
2767	6	4	a
2767	2	14	a
2767	5	11	a
2767	11	7	i
2767	4	15	i
2768	12	9	i
2768	1	9	a
2768	14	5	a
2768	16	2	a
2768	6	2	i
2768	4	4	i
2768	1	8	a
2768	10	1	a
2768	9	8	i
2768	3	3	a
2768	2	11	a
2768	7	10	i
2768	7	16	a
2768	15	12	a
2768	6	7	a
2768	14	15	a
2768	10	6	a
2768	9	6	i
2768	4	14	a
2768	13	15	a
2768	2	4	a
2768	15	14	a
2768	11	5	i
2768	5	11	a
2768	11	12	i
2768	13	10	i
2768	8	3	i
2768	8	13	a
2768	3	7	a
2768	5	13	a
2768	12	1	a
2768	16	16	a
2769	3	3	a
2769	5	10	i
2769	4	12	a
2769	10	15	a
2769	15	4	a
2769	5	6	i
2769	11	1	a
2769	4	8	a
2769	15	12	a
2769	12	11	a
2769	8	2	i
2769	10	6	a
2769	14	10	i
2769	1	15	a
2769	14	9	a
2769	8	16	i
2769	3	1	a
2769	2	13	a
2769	1	5	a
2769	12	2	a
2769	13	4	a
2769	16	11	a
2769	7	7	a
2769	7	14	i
2769	2	3	a
2769	9	16	a
2769	6	13	a
2769	16	8	a
2769	11	9	a
2769	6	5	a
2769	9	7	a
2769	13	14	a
2770	14	4	i
2770	8	1	i
2770	15	16	a
2770	1	2	i
2770	1	8	a
2770	16	7	i
2770	2	6	a
2770	9	14	a
2770	10	5	i
2770	10	15	i
2770	4	16	i
2770	8	4	a
2770	16	15	i
2770	11	9	i
2770	7	1	i
2770	6	3	a
2770	9	8	a
2770	7	12	i
2770	13	9	a
2770	5	5	a
2770	14	6	i
2770	13	13	i
2770	15	2	a
2770	12	7	a
2770	2	3	i
2770	6	14	i
2770	11	11	i
2770	3	12	i
2770	5	11	i
2770	3	10	a
2770	12	13	a
2770	4	10	i
2771	8	3	a
2771	9	8	i
2771	3	4	i
2771	11	16	i
2771	4	5	i
2771	13	15	i
2771	8	13	i
2771	12	15	i
2771	15	11	a
2771	16	1	i
2771	15	12	i
2771	13	13	a
2771	1	7	a
2771	11	2	i
2771	2	10	i
2771	6	2	i
2771	1	1	a
2771	5	10	i
2771	10	16	i
2771	9	7	i
2771	7	14	i
2771	7	12	i
2771	4	8	i
2771	14	9	i
2771	2	9	i
2771	6	6	a
2771	5	5	i
2771	12	14	i
2771	10	11	a
2771	14	3	i
2771	3	6	a
2771	16	4	i
2772	8	6	i
2772	11	9	i
2772	4	1	i
2772	2	16	i
2772	10	1	i
2772	5	2	i
2772	13	8	i
2772	13	13	i
2772	6	7	i
2772	9	16	i
2772	8	4	i
2772	4	4	i
2772	16	10	i
2772	14	7	i
2772	6	3	i
2772	15	11	i
2772	11	5	i
2772	1	5	i
2772	14	15	i
2772	1	12	i
2772	3	10	a
2772	15	8	a
2772	7	3	i
2772	3	14	i
2772	5	12	i
2772	2	9	i
2772	16	15	i
2772	10	2	i
2772	12	6	i
2772	9	13	i
2772	7	11	i
2772	12	14	i
2773	4	7	i
2773	6	14	a
2773	5	13	i
2773	8	4	a
2773	6	15	i
2773	16	2	i
2773	10	1	a
2773	2	2	i
2773	4	6	i
2773	15	13	a
2773	9	12	i
2773	1	10	a
2773	9	16	i
2773	2	3	i
2773	7	11	a
2773	3	4	i
2773	15	16	i
2773	10	6	i
2773	13	8	a
2773	13	11	i
2773	7	3	i
2773	11	9	a
2773	14	12	i
2773	1	7	a
2773	16	8	i
2773	5	5	a
2773	14	14	i
2773	8	1	i
2773	11	10	i
2773	12	9	a
2773	12	15	i
2773	3	5	i
2774	13	8	a
2774	6	4	a
2774	1	2	a
2774	3	13	a
2774	12	11	a
2774	14	14	a
2774	7	4	a
2774	9	7	i
2774	8	8	a
2774	2	11	a
2774	11	6	i
2774	7	9	a
2774	1	5	a
2774	15	10	a
2774	5	15	a
2774	9	16	a
2774	10	2	a
2774	4	5	a
2774	16	12	a
2774	11	1	i
2774	12	13	a
2774	15	15	i
2774	4	12	a
2774	5	6	a
2774	13	14	a
2774	16	9	i
2774	3	7	a
2774	2	3	a
2774	8	16	a
2774	6	1	a
2774	14	3	a
2774	10	10	a
2775	9	13	a
2775	10	5	a
2775	3	4	a
2775	6	12	i
2775	10	9	a
2775	15	14	a
2775	12	6	a
2775	1	15	a
2775	7	6	a
2775	16	8	a
2775	7	11	a
2775	13	11	a
2775	11	7	a
2775	3	14	a
2775	12	16	a
2775	5	1	a
2775	4	12	a
2775	15	13	a
2775	14	9	a
2775	2	1	a
2775	11	3	a
2775	6	10	a
2775	5	8	a
2775	2	2	a
2775	9	7	a
2775	1	16	a
2775	13	2	a
2775	8	5	a
2775	4	3	a
2775	14	4	a
2775	8	10	a
2775	16	15	a
2776	4	12	i
2776	1	6	a
2776	9	15	i
2776	1	11	i
2776	3	14	i
2776	8	5	a
2776	4	15	a
2776	7	4	i
2776	16	10	i
2776	12	1	i
2776	8	13	i
2776	10	5	i
2776	3	12	i
2776	14	3	a
2776	5	8	i
2776	13	13	a
2776	15	11	i
2776	11	8	a
2776	6	3	i
2776	12	4	a
2776	2	7	a
2776	14	7	i
2776	11	10	i
2776	7	6	i
2776	6	9	i
2776	13	1	i
2776	10	2	a
2776	16	14	i
2776	15	16	i
2776	2	16	a
2776	9	9	a
2776	5	2	i
2777	12	2	i
2777	16	10	i
2777	8	8	i
2777	6	11	i
2777	4	14	i
2777	10	9	i
2777	15	5	i
2777	6	12	i
2777	5	6	i
2777	3	13	i
2777	9	5	a
2777	11	14	a
2777	14	3	i
2777	8	1	i
2777	3	3	i
2777	12	13	i
2777	9	4	i
2777	14	7	i
2777	1	4	i
2777	16	2	i
2777	2	15	i
2777	1	10	i
2777	10	1	i
2777	15	6	i
2777	7	16	i
2777	7	15	i
2777	2	9	i
2777	11	12	i
2777	4	7	i
2777	5	8	i
2777	13	16	i
2777	13	11	i
2778	3	7	i
2778	14	12	a
2778	6	11	a
2778	1	10	a
2778	13	13	i
2778	1	4	i
2778	6	1	i
2778	16	14	a
2778	8	15	i
2778	16	9	a
2778	4	2	a
2778	15	16	a
2778	8	16	a
2778	15	12	a
2778	3	8	a
2778	12	15	a
2778	11	6	a
2778	2	4	a
2778	7	2	a
2778	2	10	a
2778	5	3	i
2778	9	5	a
2778	7	11	i
2778	4	7	a
2778	13	6	i
2778	11	5	a
2778	5	14	i
2778	10	3	i
2778	10	1	a
2778	14	13	i
2778	9	8	i
2778	12	9	a
2779	2	13	a
2779	15	11	a
2779	8	5	a
2779	9	3	a
2779	1	6	i
2779	7	6	a
2779	9	4	a
2779	14	2	a
2779	5	10	a
2779	12	12	a
2779	13	1	a
2779	12	9	a
2779	11	3	a
2779	1	9	i
2779	5	1	a
2779	2	12	i
2779	6	7	a
2779	4	15	a
2779	15	2	a
2779	6	14	a
2779	3	15	a
2779	4	16	a
2779	7	5	a
2779	3	8	a
2779	16	10	a
2779	10	13	a
2779	11	8	a
2779	10	11	a
2779	13	4	a
2779	8	14	a
2779	16	16	a
2779	14	7	a
2780	6	10	a
2780	8	10	a
2780	4	2	a
2780	7	6	a
2780	9	3	a
2780	14	5	a
2780	10	2	a
2780	7	4	a
2780	13	5	a
2780	11	15	a
2780	6	9	a
2780	1	12	a
2780	4	13	a
2780	13	8	a
2780	8	1	i
2780	15	16	a
2780	2	9	a
2780	10	1	a
2780	3	7	a
2780	11	7	a
2780	5	12	a
2780	9	14	a
2780	16	16	a
2780	12	15	a
2780	15	6	a
2780	3	13	a
2780	14	4	a
2780	2	3	a
2780	12	8	a
2780	5	11	a
2780	16	14	a
2780	1	11	a
2781	7	6	a
2781	14	4	a
2781	8	14	a
2781	10	16	a
2781	15	1	i
2781	8	9	i
2781	2	6	i
2781	1	12	a
2781	11	8	i
2781	7	14	i
2781	2	12	a
2781	3	8	i
2781	9	2	a
2781	13	16	i
2781	15	7	i
2781	5	13	a
2781	3	10	i
2781	1	3	i
2781	6	3	a
2781	13	10	i
2781	16	13	a
2781	9	15	i
2781	4	11	a
2781	12	9	i
2781	14	7	a
2781	4	4	a
2781	10	1	a
2781	11	5	a
2781	12	2	i
2781	5	11	a
2781	6	5	i
2781	16	15	i
2782	8	5	a
2782	16	4	a
2782	5	4	i
2782	10	13	a
2782	12	5	a
2782	12	3	a
2782	16	3	a
2782	6	16	i
2782	13	12	a
2782	14	15	i
2782	15	8	a
2782	4	7	a
2782	7	7	a
2782	9	14	i
2782	5	9	a
2782	1	2	a
2782	14	13	a
2782	2	1	a
2782	7	10	a
2782	11	12	a
2782	4	14	a
2782	3	16	a
2782	8	6	a
2782	2	6	a
2782	3	1	a
2782	6	11	a
2782	10	2	a
2782	9	11	a
2782	15	9	i
2782	11	10	a
2782	13	15	i
2782	1	8	a
2783	16	5	a
2783	2	6	i
2783	14	16	i
2783	14	9	a
2783	9	1	a
2783	9	8	a
2783	15	14	a
2783	4	12	a
2783	8	10	a
2783	1	4	a
2783	12	9	a
2783	15	11	i
2783	11	1	a
2783	6	3	a
2783	7	16	a
2783	7	6	a
2783	13	15	a
2783	5	10	a
2783	12	13	a
2783	1	7	a
2783	5	2	a
2783	2	14	a
2783	8	13	a
2783	4	3	i
2783	16	2	a
2783	10	4	a
2783	3	8	i
2783	6	11	a
2783	13	12	a
2783	11	7	a
2783	10	5	a
2783	3	15	a
2784	4	13	i
2784	15	3	i
2784	14	4	i
2784	9	10	i
2784	16	6	i
2784	8	9	a
2784	6	13	i
2784	7	16	a
2784	5	11	i
2784	10	3	a
2784	4	6	i
2784	12	10	i
2784	13	9	i
2784	12	12	a
2784	5	5	i
2784	15	2	a
2784	3	7	i
2784	10	15	i
2784	2	14	i
2784	6	8	i
2784	3	16	i
2784	14	5	i
2784	7	12	i
2784	9	1	a
2784	8	15	i
2784	13	14	i
2784	1	11	i
2784	16	8	i
2784	1	2	i
2784	11	4	i
2784	2	7	i
2784	11	1	i
2785	7	10	i
2785	9	2	i
2785	5	16	i
2785	11	12	i
2785	3	15	i
2785	1	7	i
2785	6	8	i
2785	10	10	i
2785	10	9	i
2785	14	9	i
2785	13	12	i
2785	16	16	i
2785	1	14	i
2785	8	2	i
2785	12	15	i
2785	14	3	i
2785	4	8	i
2785	8	3	i
2785	15	1	i
2785	12	5	i
2785	11	11	i
2785	6	7	i
2785	3	13	i
2785	13	4	i
2785	4	5	i
2785	15	6	i
2785	2	6	i
2785	16	11	i
2785	5	13	i
2785	2	1	i
2785	7	4	i
2785	9	14	i
2786	15	15	a
2786	11	13	a
2786	7	7	a
2786	1	10	i
2786	9	8	i
2786	5	11	i
2786	7	10	i
2786	9	6	i
2786	4	5	a
2786	8	3	a
2786	10	12	a
2786	6	9	i
2786	12	1	i
2786	10	14	i
2786	14	13	i
2786	3	7	i
2786	3	1	i
2786	13	2	i
2786	2	4	i
2786	1	9	i
2786	4	3	a
2786	5	16	a
2786	2	8	a
2786	13	14	i
2786	14	2	a
2786	12	4	a
2786	15	6	a
2786	6	15	a
2786	16	11	i
2786	16	16	a
2786	8	5	i
2786	11	12	a
2787	8	3	i
2787	4	7	i
2787	14	10	i
2787	12	15	i
2787	5	12	i
2787	13	4	i
2787	3	6	i
2787	3	1	a
2787	6	1	a
2787	9	11	a
2787	7	16	a
2787	9	2	i
2787	4	9	i
2787	8	13	a
2787	1	14	a
2787	14	3	i
2787	16	5	i
2787	2	15	i
2787	10	6	i
2787	16	8	i
2787	13	14	a
2787	11	4	i
2787	11	10	a
2787	15	8	i
2787	1	13	i
2787	10	7	i
2787	2	12	i
2787	7	2	a
2787	15	16	i
2787	6	5	i
2787	12	9	i
2787	5	11	i
2788	10	5	i
2788	10	11	i
2788	7	15	i
2788	2	12	i
2788	12	10	i
2788	3	5	a
2788	7	7	a
2788	5	14	i
2788	13	8	a
2788	14	7	a
2788	12	11	i
2788	16	8	i
2788	14	12	i
2788	6	3	a
2788	15	2	a
2788	1	9	a
2788	5	4	a
2788	9	16	a
2788	13	13	i
2788	2	13	a
2788	9	10	i
2788	8	3	i
2788	4	1	i
2788	16	2	i
2788	11	1	a
2788	11	15	a
2788	1	6	i
2788	8	14	a
2788	4	16	a
2788	3	9	i
2788	6	4	i
2788	15	6	a
2789	15	5	a
2789	2	8	i
2789	3	15	i
2789	3	7	a
2789	15	10	a
2789	13	13	a
2789	11	1	a
2789	6	8	a
2789	13	1	i
2789	1	4	a
2789	4	14	a
2789	8	16	a
2789	9	4	i
2789	16	9	a
2789	8	6	a
2789	5	5	i
2789	6	12	a
2789	14	15	a
2789	12	11	i
2789	10	7	a
2789	7	6	a
2789	5	3	i
2789	4	16	i
2789	12	10	a
2789	1	9	a
2789	14	13	i
2789	11	2	i
2789	16	3	i
2789	9	2	a
2789	7	11	a
2789	10	14	i
2789	2	12	a
2790	15	7	a
2790	10	12	a
2790	16	2	a
2790	4	4	a
2790	13	6	a
2790	6	14	a
2790	2	8	a
2790	5	14	a
2790	15	2	a
2790	1	5	a
2790	8	12	a
2790	11	6	a
2790	3	3	a
2790	7	11	a
2790	12	1	a
2790	11	1	a
2790	16	3	a
2790	6	10	a
2790	9	8	i
2790	7	5	a
2790	9	15	a
2790	14	11	a
2790	14	15	a
2790	5	13	a
2790	1	9	a
2790	2	4	a
2790	10	7	a
2790	8	10	a
2790	4	16	a
2790	12	13	a
2790	13	9	a
2790	3	16	a
2791	2	11	a
2791	3	13	a
2791	13	15	a
2791	6	9	a
2791	10	7	a
2791	5	14	a
2791	14	2	a
2791	15	8	i
2791	2	5	i
2791	9	5	a
2791	10	12	i
2791	1	12	a
2791	11	1	a
2791	12	11	a
2791	5	6	a
2791	4	16	a
2791	3	9	a
2791	12	13	a
2791	7	8	a
2791	4	14	a
2791	14	3	a
2791	6	10	a
2791	1	3	a
2791	16	16	a
2791	16	10	a
2791	8	15	a
2791	15	4	a
2791	13	7	a
2791	11	6	a
2791	9	2	a
2791	7	4	a
2791	8	1	i
2792	2	7	i
2792	13	13	a
2792	9	8	a
2792	12	1	a
2792	13	9	i
2792	8	16	a
2792	11	10	a
2792	10	14	i
2792	9	12	i
2792	1	4	i
2792	4	5	i
2792	16	15	a
2792	12	3	a
2792	15	11	a
2792	3	5	i
2792	7	10	a
2792	15	8	i
2792	4	2	i
2792	1	15	i
2792	14	9	i
2792	8	12	a
2792	3	16	i
2792	7	6	a
2792	2	2	a
2792	16	6	i
2792	11	3	a
2792	6	13	i
2792	6	4	a
2792	14	14	a
2792	10	11	a
2792	5	7	a
2792	5	1	a
2793	3	10	i
2793	2	2	a
2793	15	4	i
2793	13	13	i
2793	9	10	i
2793	16	3	i
2793	6	9	a
2793	12	11	i
2793	8	13	i
2793	6	3	i
2793	2	14	i
2793	13	7	i
2793	9	7	i
2793	1	15	i
2793	12	16	i
2793	5	12	a
2793	11	6	i
2793	3	5	i
2793	14	2	a
2793	4	8	i
2793	7	6	i
2793	10	8	i
2793	16	11	i
2793	14	1	i
2793	8	14	i
2793	10	12	i
2793	15	16	i
2793	1	1	i
2793	11	5	i
2793	5	9	i
2793	7	4	a
2793	4	15	i
2794	4	10	a
2794	11	6	a
2794	1	14	i
2794	6	1	i
2794	14	12	a
2794	10	3	a
2794	8	9	a
2794	9	5	a
2794	2	15	i
2794	16	1	i
2794	8	2	a
2794	7	13	i
2794	10	9	i
2794	6	6	a
2794	2	7	i
2794	12	13	a
2794	12	4	a
2794	3	8	a
2794	1	7	i
2794	5	10	i
2794	15	11	i
2794	4	16	a
2794	5	2	i
2794	11	5	i
2794	13	8	i
2794	9	3	a
2794	16	16	a
2794	3	4	i
2794	7	11	i
2794	14	15	i
2794	15	14	i
2794	13	12	i
2795	15	6	a
2795	9	3	a
2795	1	15	a
2795	3	7	a
2795	4	4	a
2795	16	1	a
2795	8	15	a
2795	14	9	a
2795	4	6	a
2795	6	5	a
2795	14	8	a
2795	12	10	a
2795	11	2	a
2795	3	8	i
2795	5	14	a
2795	1	11	a
2795	2	3	a
2795	5	13	a
2795	8	4	a
2795	7	9	a
2795	6	1	a
2795	10	2	a
2795	2	13	a
2795	10	12	a
2795	13	16	a
2795	7	12	a
2795	9	7	a
2795	16	5	a
2795	13	10	a
2795	11	14	a
2795	15	16	a
2795	12	11	a
2796	1	7	a
2796	5	2	a
2796	1	13	i
2796	16	14	a
2796	9	2	a
2796	2	11	i
2796	12	3	i
2796	5	4	a
2796	11	6	a
2796	3	16	a
2796	7	5	i
2796	10	10	i
2796	14	16	a
2796	15	15	i
2796	12	15	i
2796	13	8	i
2796	7	10	i
2796	10	5	a
2796	4	6	a
2796	4	8	a
2796	9	3	a
2796	8	1	i
2796	16	7	i
2796	6	11	a
2796	2	1	a
2796	14	9	a
2796	6	12	a
2796	13	9	i
2796	11	12	i
2796	8	4	a
2796	15	14	i
2796	3	13	i
2797	6	10	i
2797	12	4	i
2797	2	10	i
2797	15	13	i
2797	1	11	i
2797	15	14	i
2797	7	8	i
2797	8	6	i
2797	1	5	i
2797	8	1	i
2797	7	12	i
2797	11	7	i
2797	12	2	i
2797	13	6	i
2797	10	15	i
2797	14	15	i
2797	4	5	i
2797	16	1	i
2797	9	14	i
2797	9	12	i
2797	3	16	a
2797	16	3	i
2797	3	8	i
2797	6	3	i
2797	10	16	i
2797	11	9	i
2797	2	4	i
2797	4	2	i
2797	5	9	i
2797	5	11	i
2797	14	13	i
2797	13	7	i
2798	16	6	a
2798	5	3	i
2798	13	14	i
2798	5	11	i
2798	10	3	i
2798	11	13	i
2798	4	8	a
2798	15	4	i
2798	12	5	i
2798	1	6	i
2798	6	13	i
2798	7	7	i
2798	3	10	a
2798	2	16	i
2798	6	12	i
2798	1	1	i
2798	12	10	i
2798	7	9	i
2798	15	16	i
2798	4	15	a
2798	3	1	i
2798	14	8	i
2798	9	5	i
2798	8	2	i
2798	14	2	i
2798	2	9	i
2798	8	11	i
2798	11	15	i
2798	10	12	i
2798	16	14	i
2798	13	7	i
2798	9	4	i
2799	5	12	a
2799	13	11	a
2799	14	14	a
2799	2	12	a
2799	4	8	a
2799	1	2	i
2799	2	15	a
2799	8	15	a
2799	15	9	a
2799	16	10	a
2799	9	4	a
2799	5	7	a
2799	12	8	a
2799	15	3	a
2799	11	13	a
2799	14	10	a
2799	1	13	i
2799	10	1	i
2799	9	6	a
2799	8	5	a
2799	6	16	a
2799	12	9	a
2799	7	3	a
2799	4	1	a
2799	7	16	a
2799	11	5	a
2799	16	4	a
2799	3	14	i
2799	10	11	a
2799	6	2	a
2799	13	7	a
2799	3	6	i
2800	5	3	a
2800	12	6	a
2800	14	16	a
2800	15	15	a
2800	2	4	a
2800	13	13	a
2800	9	16	i
2800	4	14	a
2800	11	1	a
2800	6	5	a
2800	12	7	a
2800	8	8	i
2800	13	3	a
2800	7	10	a
2800	15	1	a
2800	9	4	a
2800	6	14	a
2800	1	15	a
2800	10	9	a
2800	1	12	i
2800	4	5	a
2800	7	9	a
2800	2	10	i
2800	11	6	a
2800	10	8	a
2800	3	2	a
2800	14	11	a
2800	8	2	a
2800	3	11	a
2800	16	7	a
2800	5	13	a
2800	16	12	a
2801	1	7	i
2801	4	3	i
2801	4	13	i
2801	9	15	i
2801	6	5	i
2801	11	1	i
2801	9	6	i
2801	3	13	i
2801	13	4	i
2801	8	16	i
2801	1	15	a
2801	6	6	i
2801	2	12	i
2801	8	9	i
2801	16	14	a
2801	14	16	a
2801	11	9	a
2801	16	7	a
2801	3	12	i
2801	10	8	i
2801	12	1	a
2801	5	14	i
2801	12	10	i
2801	5	10	i
2801	10	11	i
2801	13	3	i
2801	15	4	i
2801	7	2	a
2801	15	2	i
2801	14	8	a
2801	2	5	i
2801	7	11	i
2802	1	14	a
2802	6	10	i
2802	5	14	a
2802	6	2	a
2802	10	4	i
2802	15	16	i
2802	9	4	i
2802	11	6	a
2802	13	9	i
2802	4	7	i
2802	12	8	i
2802	8	7	i
2802	13	11	a
2802	8	3	a
2802	7	1	i
2802	15	8	i
2802	14	16	i
2802	1	6	i
2802	16	10	i
2802	14	13	i
2802	3	3	a
2802	11	15	i
2802	3	5	i
2802	5	12	i
2802	4	12	i
2802	16	15	i
2802	12	5	i
2802	10	2	i
2802	9	9	i
2802	7	11	i
2802	2	1	i
2802	2	13	i
2803	11	3	i
2803	7	9	i
2803	8	7	i
2803	14	14	i
2803	9	13	i
2803	12	2	i
2803	6	5	i
2803	4	13	i
2803	1	6	i
2803	5	5	i
2803	10	10	i
2803	4	11	i
2803	9	4	i
